userid,key,summary,agent1,agent2,selected,value,time,correct,betterAgent,worseAgent,comparisonType
31a4008b,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
b1c3fd1f,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
fab400c5,correct,maxdiv,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
25e400f5,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
31a4008b,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
41b40082,correct,max,200,400,200,FALSE,1.50818E+12,0,400,200,1
fab400c5,correct,random,2000,200,200,FALSE,1.50818E+12,0,2000,200,3
b1c3fd1f,correct,max,200,400,400,TRUE,1.50818E+12,1,400,200,1
31a4008b,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
8ba3fb7b,correct,maxdiv,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
41b40082,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
31a4008b,correct,maxdiv,400,200,400,TRUE,1.50818E+12,1,400,200,1
25e400f5,correct,random,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
b1c3fd1f,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
fab400c5,correct,maxdiv,400,200,400,TRUE,1.50818E+12,1,400,200,1
31a4008b,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
25e400f5,correct,max,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
41b40082,correct,random,200,2000,200,FALSE,1.50818E+12,0,2000,200,3
b1c3fd1f,correct,random,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
fab400c5,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
8ba3fb7b,correct,random,2000,200,200,FALSE,1.50818E+12,0,2000,200,3
31a4008b,correct,random,400,2000,400,FALSE,1.50818E+12,0,2000,400,2
b1c3fd1f,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
fab400c5,correct,random,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
41b40082,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
25e400f5,correct,random,200,400,200,FALSE,1.50818E+12,0,400,200,1
31a4008b,correct,max,200,400,400,TRUE,1.50818E+12,1,400,200,1
b1c3fd1f,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
b2a40232,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
41b40082,correct,maxdiv,400,2000,2000,TRUE,1.50818E+12,1,2000,400,2
fab400c5,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
25e400f5,correct,max,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
31a4008b,correct,max,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
fab400c5,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
25e400f5,correct,max,200,400,200,FALSE,1.50818E+12,0,400,200,1
41b40082,correct,random,2000,400,400,FALSE,1.50818E+12,0,2000,400,2
25e400f5,correct,maxdiv,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
b2a40232,correct,max,2000,200,2000,TRUE,1.50818E+12,1,2000,200,3
50a40474,correct,maxdiv,2000,400,2000,TRUE,1.50818E+12,1,2000,400,2
50a40474,correct,maxdiv,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
50a40474,correct,maxdiv,200,400,400,TRUE,1.50818E+12,1,400,200,1
50a40474,correct,random,200,2000,2000,TRUE,1.50818E+12,1,2000,200,3
