userid,key,summary,agent1,agent2,selection,worstAgent,betterAgent,value,time,comparisonType
84c3ee94,confidence,max,2000,200,2000,200,2000,7,1.50818E+12,3
adf3ecbe,confidence,max,400,200,200,200,400,4,1.50818E+12,1
49f3ea04,confidence,random,2000,400,400,400,2000,6,1.50818E+12,2
8fd3ed6a,confidence,max,2000,400,2000,400,2000,5,1.50818E+12,2
ccf3ec93,confidence,max,200,2000,2000,200,2000,7,1.50818E+12,3
84c3ee94,confidence,max,200,400,400,200,400,7,1.50818E+12,1
27c3eced,confidence,random,400,2000,400,400,2000,5,1.50818E+12,2
84c3ee94,confidence,maxdiv,200,400,400,200,400,7,1.50818E+12,1
c5a3e9ad,confidence,max,400,2000,2000,400,2000,7,1.50818E+12,2
84c3ee94,confidence,maxdiv,2000,200,2000,200,2000,7,1.50818E+12,3
c5a3ea5b,confidence,maxdiv,2000,200,2000,200,2000,5,1.50818E+12,3
ccf3ec93,confidence,random,200,2000,200,200,2000,5,1.50818E+12,3
84c3ee94,confidence,random,400,2000,2000,400,2000,7,1.50818E+12,2
8fd3ed6a,confidence,max,2000,200,2000,200,2000,5,1.50818E+12,3
27c3eced,confidence,maxdiv,2000,200,2000,200,2000,7,1.50818E+12,3
49f3ea04,confidence,maxdiv,200,400,400,200,400,5,1.50818E+12,1
84c3ee94,confidence,maxdiv,400,2000,2000,400,2000,5,1.50818E+12,2
27c3eced,confidence,random,200,2000,200,200,2000,7,1.50818E+12,3
ccf3ec93,confidence,maxdiv,400,200,400,200,400,6,1.50818E+12,1
8fd3ed6a,confidence,max,400,200,400,200,400,5,1.50818E+12,1
ccf3ec93,confidence,random,200,400,200,200,400,7,1.50818E+12,1
27c3eced,confidence,max,200,2000,2000,200,2000,4,1.50818E+12,3
8fd3ed6a,confidence,maxdiv,200,400,400,200,400,5,1.50818E+12,1
8fd3ed6a,confidence,maxdiv,400,2000,400,400,2000,5,1.50818E+12,2
8fd3ed6a,confidence,random,400,200,400,200,400,5,1.50818E+12,1
27c3eced,confidence,max,400,2000,400,400,2000,6,1.50818E+12,2
81a3fb25,confidence,random,200,400,200,200,400,5,1.50818E+12,1
d7e3fcd1,confidence,random,400,200,400,200,400,4,1.50818E+12,1
81a3fb25,confidence,max,400,200,200,200,400,4,1.50818E+12,1
5df3fce6,confidence,random,400,200,400,200,400,4,1.50818E+12,1
d7e3fcd1,confidence,max,200,400,400,200,400,4,1.50818E+12,1
5df3fce6,confidence,max,2000,200,2000,200,2000,7,1.50818E+12,3
c1f3fce2,confidence,random,400,200,200,200,400,6,1.50818E+12,1
d7e3fcd1,confidence,max,400,2000,2000,400,2000,6,1.50818E+12,2
53d3fd00,confidence,max,2000,200,2000,200,2000,6,1.50818E+12,3
5df3fce6,confidence,maxdiv,200,2000,2000,200,2000,7,1.50818E+12,3
81a3fb25,confidence,random,2000,200,200,200,2000,5,1.50818E+12,3
d7e3fcd1,confidence,maxdiv,400,2000,2000,400,2000,6,1.50818E+12,2
8ba3fb7b,confidence,max,400,2000,400,400,2000,4,1.50818E+12,2
c1f3fce2,confidence,maxdiv,200,2000,2000,200,2000,7,1.50818E+12,3
53d3fd00,confidence,max,400,2000,2000,400,2000,5,1.50818E+12,2
5df3fce6,confidence,maxdiv,2000,400,2000,400,2000,6,1.50818E+12,2
5df3fce6,confidence,maxdiv,200,400,200,200,400,5,1.50818E+12,1
d7e3fcd1,confidence,maxdiv,200,2000,2000,200,2000,6,1.50818E+12,3
53d3fd00,confidence,max,400,200,200,200,400,3,1.50818E+12,1
c1f3fce2,confidence,maxdiv,2000,400,2000,400,2000,5,1.50818E+12,2
5df3fce6,confidence,random,2000,200,2000,200,2000,5,1.50818E+12,3
53d3fd00,confidence,maxdiv,2000,200,2000,200,2000,5,1.50818E+12,3
d7e3fcd1,confidence,max,2000,200,2000,200,2000,7,1.50818E+12,3
5df3fce6,confidence,max,200,400,400,200,400,5,1.50818E+12,1
c1f3fce2,confidence,random,2000,400,400,400,2000,4,1.50818E+12,2
d7e3fcd1,confidence,maxdiv,200,400,400,200,400,5,1.50818E+12,1
53d3fd00,confidence,random,200,2000,2000,200,2000,5,1.50818E+12,3
5df3fce6,confidence,random,400,2000,400,400,2000,5,1.50818E+12,2
d7e3fcd1,confidence,random,200,2000,2000,200,2000,6,1.50818E+12,3
81a3fb25,confidence,random,2000,400,400,400,2000,4,1.50818E+12,2
53d3fd00,confidence,maxdiv,400,200,400,200,400,4,1.50818E+12,1
5df3fce6,confidence,max,2000,400,2000,400,2000,6,1.50818E+12,2
8ba3fb7b,confidence,maxdiv,200,2000,2000,200,2000,5,1.50818E+12,3
d7e3fcd1,confidence,random,400,2000,2000,400,2000,6,1.50818E+12,2
c1f3fce2,confidence,max,400,200,400,200,400,5,1.50818E+12,1
53d3fd00,confidence,random,400,200,400,200,400,6,1.50818E+12,1
c1f3fce2,confidence,maxdiv,200,400,400,200,400,6,1.50818E+12,1
53d3fd00,confidence,random,400,2000,2000,400,2000,6,1.50818E+12,2
53d3fd00,confidence,maxdiv,400,2000,2000,400,2000,6,1.50818E+12,2
c1f3fce2,confidence,random,200,2000,200,200,2000,4,1.50818E+12,3
81a3fb25,confidence,max,200,2000,200,200,2000,4,1.50818E+12,3
27b3ff1c,confidence,maxdiv,400,2000,2000,400,2000,7,1.50818E+12,2
c1f3fce2,confidence,max,2000,400,2000,400,2000,5,1.50818E+12,2
27b3ff1c,confidence,maxdiv,200,2000,2000,200,2000,7,1.50818E+12,3
8ba3fb7b,confidence,random,400,2000,400,400,2000,4,1.50818E+12,2
27b3ff1c,confidence,max,200,2000,2000,200,2000,7,1.50818E+12,3
81a3fb25,confidence,maxdiv,200,2000,2000,200,2000,4,1.50818E+12,3
c1f3fce2,confidence,max,2000,200,2000,200,2000,6,1.50818E+12,3
27b3ff1c,confidence,maxdiv,200,400,400,200,400,7,1.50818E+12,1
27b3ff1c,confidence,random,2000,200,200,200,2000,7,1.50818E+12,3
27b3ff1c,confidence,max,400,200,400,200,400,7,1.50818E+12,1
81a3fb25,confidence,max,400,2000,2000,400,2000,4,1.50818E+12,2
27b3ff1c,confidence,random,2000,400,400,400,2000,7,1.50818E+12,2
82d3ff1d,confidence,max,400,2000,2000,400,2000,5,1.50818E+12,2
27b3ff1c,confidence,random,400,200,400,200,400,7,1.50818E+12,1
81a3fb25,confidence,maxdiv,2000,400,2000,400,2000,4,1.50818E+12,2
27b3ff1c,confidence,max,2000,400,2000,400,2000,7,1.50818E+12,2
82d3ff1d,confidence,maxdiv,400,200,400,200,400,5,1.50818E+12,1
8ba3fb7b,confidence,max,200,400,400,200,400,5,1.50818E+12,1
81a3fb25,confidence,maxdiv,400,200,400,200,400,5,1.50818E+12,1
b1c3fd1f,confidence,maxdiv,400,200,400,200,400,6,1.50818E+12,1
82d3ff1d,confidence,maxdiv,2000,200,2000,200,2000,5,1.50818E+12,3
82d3ff1d,confidence,maxdiv,400,2000,2000,400,2000,4,1.50818E+12,2
82d3ff1d,confidence,random,400,2000,400,400,2000,5,1.50818E+12,2
8ba3fb7b,confidence,max,200,2000,200,200,2000,5,1.50818E+12,3
b1c3fd1f,confidence,random,2000,200,200,200,2000,5,1.50818E+12,3
82d3ff1d,confidence,max,400,200,400,200,400,3,1.50818E+12,1
82d3ff1d,confidence,random,2000,200,200,200,2000,4,1.50818E+12,3
41b40082,confidence,max,2000,200,2000,200,2000,5,1.50818E+12,3
8ba3fb7b,confidence,random,200,400,200,200,400,6,1.50818E+12,1
82d3ff1d,confidence,max,200,2000,2000,200,2000,5,1.50818E+12,3
82d3ff1d,confidence,random,200,400,200,200,400,5,1.50818E+12,1
fab400c5,confidence,random,200,400,200,200,400,6,1.50818E+12,1
41b40082,confidence,random,200,400,200,200,400,4,1.50818E+12,1
31a4008b,confidence,random,200,400,200,200,400,7,1.50818E+12,1
